game,size,method,time_s,success,n_equilibria_returned,n_equilibria_valid,error
Battle of the Sexes,2,Lemke-Howson,0.0010367999784648418,True,1,1,
Battle of the Sexes,2,Support Enumeration,0.0011529000476002693,True,3,3,
Battle of the Sexes,2,Homotopy (logit tracing),0.06624339986592531,True,1,1,
Chicken,2,Lemke-Howson,0.00040580006316304207,True,1,1,
Chicken,2,Support Enumeration,0.0009400998242199421,True,3,3,
Chicken,2,Homotopy (logit tracing),0.07338499976322055,True,1,1,
Prisoner's Dilemma,2,Lemke-Howson,0.0004430999979376793,True,1,1,
Prisoner's Dilemma,2,Support Enumeration,0.0009536999277770519,True,1,1,
Prisoner's Dilemma,2,Homotopy (logit tracing),0.048419700004160404,True,1,1,
Matching Pennies,2,Lemke-Howson,0.0005397000350058079,True,1,1,
Matching Pennies,2,Support Enumeration,0.0009686998091638088,True,1,1,
Matching Pennies,2,Homotopy (logit tracing),0.04343840014189482,True,1,1,
random_2x2_#0,2,Lemke-Howson,0.0005840999074280262,True,1,1,
random_2x2_#0,2,Support Enumeration,0.0009758002124726772,True,1,1,
random_2x2_#0,2,Homotopy (logit tracing),0.04696559999138117,True,1,1,
random_2x2_#1,2,Lemke-Howson,0.0008594999089837074,True,1,1,
random_2x2_#1,2,Support Enumeration,0.001641400158405304,True,1,1,
random_2x2_#1,2,Homotopy (logit tracing),0.04821679973974824,True,1,1,
random_2x2_#2,2,Lemke-Howson,0.0007650000043213367,True,1,1,
random_2x2_#2,2,Support Enumeration,0.0013902001082897186,True,1,1,
random_2x2_#2,2,Homotopy (logit tracing),0.046864799689501524,True,1,1,
random_2x2_#3,2,Lemke-Howson,0.0003692000173032284,True,1,1,
random_2x2_#3,2,Support Enumeration,0.0009222999215126038,True,1,1,
random_2x2_#3,2,Homotopy (logit tracing),0.04247890040278435,True,1,1,
random_2x2_#4,2,Lemke-Howson,0.0003049001097679138,True,1,1,
random_2x2_#4,2,Support Enumeration,0.0008350000716745853,True,1,1,
random_2x2_#4,2,Homotopy (logit tracing),0.044545500073581934,True,1,1,
random_2x2_#5,2,Lemke-Howson,0.0003848997876048088,True,1,1,
random_2x2_#5,2,Support Enumeration,0.0009596999734640121,True,1,1,
random_2x2_#5,2,Homotopy (logit tracing),0.04625870008021593,True,1,1,
random_2x2_#6,2,Lemke-Howson,0.0005871998146176338,True,1,1,
random_2x2_#6,2,Support Enumeration,0.0009293998591601849,True,1,1,
random_2x2_#6,2,Homotopy (logit tracing),0.04373509995639324,True,1,1,
random_2x2_#7,2,Lemke-Howson,0.0003776000812649727,True,1,1,
random_2x2_#7,2,Support Enumeration,0.0009049000218510628,True,1,1,
random_2x2_#7,2,Homotopy (logit tracing),0.04370199982076883,True,1,1,
random_3x3_#0,3,Lemke-Howson,0.0007676002569496632,True,1,1,
random_3x3_#0,3,Support Enumeration,0.00531869987025857,False,0,0,Support enumeration: aucun équilibre trouvé
random_3x3_#0,3,Homotopy (logit tracing),0.06934850011020899,True,1,1,
random_3x3_#1,3,Lemke-Howson,0.0003360002301633358,True,1,1,
random_3x3_#1,3,Support Enumeration,0.0036176000721752644,True,3,3,
random_3x3_#1,3,Homotopy (logit tracing),0.05062540015205741,True,1,1,
random_3x3_#2,3,Lemke-Howson,0.0004405002109706402,True,1,1,
random_3x3_#2,3,Support Enumeration,0.004812999628484249,True,1,1,
random_3x3_#2,3,Homotopy (logit tracing),0.051012299954891205,True,1,1,
random_3x3_#3,3,Lemke-Howson,0.0003253999166190624,True,1,1,
random_3x3_#3,3,Support Enumeration,0.00338049978017807,True,1,1,
random_3x3_#3,3,Homotopy (logit tracing),0.048961699940264225,True,1,1,
random_3x3_#4,3,Lemke-Howson,0.00035349978134036064,True,1,1,
random_3x3_#4,3,Support Enumeration,0.0037412000820040703,True,1,1,
random_3x3_#4,3,Homotopy (logit tracing),0.053392000030726194,True,1,1,
random_3x3_#5,3,Lemke-Howson,0.0005274000577628613,True,1,1,
random_3x3_#5,3,Support Enumeration,0.00382799981161952,True,1,1,
random_3x3_#5,3,Homotopy (logit tracing),0.06235070014372468,True,1,1,
random_3x3_#6,3,Lemke-Howson,0.00040270015597343445,True,1,1,
random_3x3_#6,3,Support Enumeration,0.0034699998795986176,True,1,1,
random_3x3_#6,3,Homotopy (logit tracing),0.0743320002220571,True,1,1,
random_3x3_#7,3,Lemke-Howson,0.00040950020775198936,True,1,1,
random_3x3_#7,3,Support Enumeration,0.004337399732321501,True,3,3,
random_3x3_#7,3,Homotopy (logit tracing),0.07208970002830029,True,1,1,
random_4x4_#0,4,Lemke-Howson,0.0005859998054802418,True,1,1,
random_4x4_#0,4,Support Enumeration,0.014799099881201982,True,1,1,
random_4x4_#0,4,Homotopy (logit tracing),0.08457599999383092,True,1,1,
random_4x4_#1,4,Lemke-Howson,0.0004429998807609081,True,1,1,
random_4x4_#1,4,Support Enumeration,0.014310400001704693,True,3,3,
random_4x4_#1,4,Homotopy (logit tracing),0.05909809982404113,True,1,1,
random_4x4_#2,4,Lemke-Howson,0.0004885001108050346,True,1,1,
random_4x4_#2,4,Support Enumeration,0.015253700315952301,True,1,1,
random_4x4_#2,4,Homotopy (logit tracing),0.1868966999463737,True,1,1,
random_4x4_#3,4,Lemke-Howson,0.0003805002197623253,True,1,1,
random_4x4_#3,4,Support Enumeration,0.015883699990808964,True,3,3,
random_4x4_#3,4,Homotopy (logit tracing),0.05598359974101186,True,1,1,
random_4x4_#4,4,Lemke-Howson,0.0004086000844836235,True,1,1,
random_4x4_#4,4,Support Enumeration,0.015368000138550997,True,3,3,
random_4x4_#4,4,Homotopy (logit tracing),0.05790740018710494,True,1,1,
random_4x4_#5,4,Lemke-Howson,0.0006717001087963581,True,1,1,
random_4x4_#5,4,Support Enumeration,0.015294799581170082,False,0,0,Support enumeration: aucun équilibre trouvé
random_4x4_#5,4,Homotopy (logit tracing),0.10777239967137575,True,1,1,
random_4x4_#6,4,Lemke-Howson,0.00042450008913874626,True,1,1,
random_4x4_#6,4,Support Enumeration,0.016636000014841557,True,1,1,
random_4x4_#6,4,Homotopy (logit tracing),0.06314070010557771,True,1,1,
random_4x4_#7,4,Lemke-Howson,0.0005961996503174305,True,1,1,
random_4x4_#7,4,Support Enumeration,0.017616100143641233,True,3,3,
random_4x4_#7,4,Homotopy (logit tracing),0.061918099876493216,True,1,1,
random_5x5_#0,5,Lemke-Howson,0.00041159987449645996,True,1,1,
random_5x5_#0,5,Support Enumeration,0.07104979967698455,True,1,1,
random_5x5_#0,5,Homotopy (logit tracing),0.07413710001856089,True,1,1,
random_5x5_#1,5,Lemke-Howson,0.00041530001908540726,True,1,1,
random_5x5_#1,5,Support Enumeration,0.07577470038086176,True,1,1,
random_5x5_#1,5,Homotopy (logit tracing),0.07521540019661188,True,1,1,
random_5x5_#2,5,Lemke-Howson,0.000398899894207716,True,1,1,
random_5x5_#2,5,Support Enumeration,0.07700739987194538,True,2,2,
random_5x5_#2,5,Homotopy (logit tracing),0.07283639954403043,True,1,1,
random_5x5_#3,5,Lemke-Howson,0.0005254000425338745,True,1,1,
random_5x5_#3,5,Support Enumeration,0.07169769983738661,True,1,1,
random_5x5_#3,5,Homotopy (logit tracing),0.08544160006567836,True,1,1,
random_5x5_#4,5,Lemke-Howson,0.0008207997307181358,True,1,1,
random_5x5_#4,5,Support Enumeration,0.0684289000928402,False,0,0,Support enumeration: aucun équilibre trouvé
random_5x5_#4,5,Homotopy (logit tracing),0.09284960012882948,True,1,1,
random_5x5_#5,5,Lemke-Howson,0.00039160018786787987,True,1,1,
random_5x5_#5,5,Support Enumeration,0.06625640019774437,True,2,2,
random_5x5_#5,5,Homotopy (logit tracing),0.0675522000528872,True,1,1,
random_5x5_#6,5,Lemke-Howson,0.0006607002578675747,True,1,1,
random_5x5_#6,5,Support Enumeration,0.07093620020896196,True,2,2,
random_5x5_#6,5,Homotopy (logit tracing),0.07018049992620945,True,1,1,
random_5x5_#7,5,Lemke-Howson,0.0005195001140236855,True,1,1,
random_5x5_#7,5,Support Enumeration,0.06932659959420562,True,4,4,
random_5x5_#7,5,Homotopy (logit tracing),0.07450860040262341,True,1,1,
random_6x6_#0,6,Lemke-Howson,0.0004640999250113964,True,1,1,
random_6x6_#0,6,Support Enumeration,0.30654900008812547,True,2,2,
random_6x6_#0,6,Homotopy (logit tracing),0.0777977998368442,True,1,1,
random_6x6_#1,6,Lemke-Howson,0.0005415002815425396,True,1,1,
random_6x6_#1,6,Support Enumeration,0.28079860005527735,False,0,0,Support enumeration: aucun équilibre trouvé
random_6x6_#1,6,Homotopy (logit tracing),0.10335260024294257,True,1,1,
random_6x6_#2,6,Lemke-Howson,0.0005067996680736542,True,1,1,
random_6x6_#2,6,Support Enumeration,0.2966676000505686,True,1,1,
random_6x6_#2,6,Homotopy (logit tracing),0.09495810000225902,True,1,1,
random_6x6_#3,6,Lemke-Howson,0.0004306999035179615,True,1,1,
random_6x6_#3,6,Support Enumeration,0.333445199765265,True,2,2,
random_6x6_#3,6,Homotopy (logit tracing),0.092036799993366,True,1,1,
random_6x6_#4,6,Lemke-Howson,0.0005610999651253223,True,1,1,
random_6x6_#4,6,Support Enumeration,0.39032140001654625,True,1,1,
random_6x6_#4,6,Homotopy (logit tracing),0.13051540032029152,True,1,1,
random_6x6_#5,6,Lemke-Howson,0.0004879999905824661,True,1,1,
random_6x6_#5,6,Support Enumeration,0.30238620005548,True,1,1,
random_6x6_#5,6,Homotopy (logit tracing),0.08114830031991005,True,1,1,
random_6x6_#6,6,Lemke-Howson,0.0008881003595888615,True,1,1,
random_6x6_#6,6,Support Enumeration,0.2951642000116408,True,1,1,
random_6x6_#6,6,Homotopy (logit tracing),0.07897489983588457,True,1,1,
random_6x6_#7,6,Lemke-Howson,0.0007150000892579556,True,1,1,
random_6x6_#7,6,Support Enumeration,0.3039344996213913,True,2,2,
random_6x6_#7,6,Homotopy (logit tracing),0.08339199982583523,True,1,1,
